,Jugador[75]​,Selección,Goles,Partidos,Promedio,Torneos jugados
0,Miroslav Klose,Alemania,16,24,67,"2002, 2006, 2010 y 2014"
1,Ronaldo,Brasil,15,19,79,"1998, 2002, 2006"
2,Gerd Müller,Alemania,14,13,108,1970 y 1974
3,Just Fontaine,Francia,13,6,217,1958
4,Pelé,Brasil,12,14,86,"1958, 1962, 1966 y 1970"
